"location","latitude","longitude"
"phool bagan",22.5701957,88.3967536
"prince anwar shah road",22.5020937,88.3564397
"princep ghat",22.5552443,88.3311654
"princep street",22.5674484,88.3553468
"r n mukherjee road",22.5711836,88.3510374
"rabindra sadan",22.5418899,88.3446784
"rabindra sarani",22.5902882,88.3594026
"radha bazar street",22.5734228,88.3519208
"rafi ahmed kidwai road",22.557948,88.3576331
"rai bahadur road",22.4998938,88.3296376
"raja rammohan roy sarani",22.5767382,88.3688035
"rash behari avenue",22.5210149,88.3706328
"regent park",22.4874358,88.35494
"royd street",22.5526154,88.3556742
"russel street",22.5516618,88.3507208
"santoshpur avenue",22.4934112,88.3892351
"sarat bose road",22.5270146,88.3527005
"santragachi",22.5839176,88.2826103
"shakespeare sarani",22.5446879,88.3560408
"shyam nagar",22.8323184,88.3967536
"shyambazar",22.5982031,88.3686866
"college more",22.575223,88.433888
"southern avenue",22.5134021,88.3560305
"sodepur",22.698214,88.3894769
"surya sen street",22.572735,88.3671104
"sovabazar",22.5981676,88.3639986
"shyama prasad mukherjee road",22.5162141,88.3459345
"taratala",22.5168375,88.3017677
"taratala road",22.5326621,88.2917751
"r r avenue",22.572646,88.363895
"topsia",22.5345873,88.3861746
"topsia road",22.5345873,88.3861746
"maa flyover",22.5418002,88.3851148
"ultadanga",22.594817,88.3868594
"vivekananda road",22.5854684,88.3689629
"ultadana main road",22.5940276,88.3865499
"ultadanga road",22.5960103,88.3777678
"tollygunge circular road",22.5057881,88.3363678
"weston street",22.569393,88.3553872
"tegoria",22.6227201,88.4367538
"g c avenue",22.5675537,88.3564717
"collage street",22.5742457,88.3628573
"auckland road",22.5428698,88.3587484
"apc road",22.5817067,88.3742099
"hospital road",22.5034009,88.39346
"colaatala street",22.5754855,88.3589944
"guha road",22.6434838,88.4229723
"red road",22.5598425,88.3460609
"banarjee road",22.561334,88.3588174
"main road",22.5133695,88.3905196
"amherst st",22.5777658,88.3692471
"vivekananda rd crossing",22.5854684,88.3689629
"rr avenue",22.572646,88.363895
"r avenue",22.7090084,88.3841417
"urgent street",22.5410939,88.3681333
"c street",22.5742457,88.3628573
"ganguly street",22.569418,88.3611769
"college street crossing",22.5742457,88.3628573
"b t road",22.6812304,88.3757267
"gate flyover",22.6122351,88.374177
"cr avenue",22.5804966,88.3611692
"dpp road",22.4733004,88.3692617
"nehru road",22.5540362,88.3498154
"m road",22.4609999,88.3292444
"s road",22.4901554,88.3803489
"nsc bose road",22.4561543,88.3856686
"kidwai road",22.557948,88.3576331
"banerjee road",22.561334,88.3588174
"dorina crossing",22.5634945,88.351211
"ali road",22.5426994,88.3629677
"d miazan ostagar lane",22.5494608,88.389327
"ostagar lane",22.5462362,88.3670802
"dilkhusa street",22.5398318,88.3697284
"guha street",22.5386625,88.3715252
"huda road",22.5374603,88.3688142
"bose road",22.5270146,88.3527005
"c road",22.7592751,88.3759452
"aurobindo sarani",22.5943618,88.3725748
"gangully street",22.569418,88.3611769
"sen street",22.572735,88.3671104
"baker road",22.5259075,88.3367905
"moulali crossing",22.5616149,88.3660934
"bannerjee road",22.561334,88.3588174
"c avenue",22.5804966,88.3611692
"g road",22.7614387,88.3744573
"rawdon street",22.5443785,88.3583574
"short street",22.5475714,88.3563324
"exide crossing",22.572646,88.363895
"nehru rd",22.5540362,88.3498154
"garden reach road",22.5438705,88.2945446
"reach road",22.5438705,88.2945446
"chandra road",22.5817067,88.3742099
"ramnath pal road",22.5398262,88.3202311
"babubazar crossing",22.5373887,88.3196791
"r road",22.52497,88.317756
"khidderpore crossing",22.541901,88.32672
