"location","latitude","longitude"
"swinhoe lane",22.5223567,88.3766763
"parama crossing",22.542852,88.3983598
"ritchie road crossing",22.5268778,88.3552683
"chandicharan road",22.4759202,88.3116867
"pur road",22.5251214,88.3308959
"diverted asbestos crossing",22.572646,88.363895
"pur road crossing",22.5251214,88.3308959
"burman street",22.579968,88.3611699
"bata crossing",22.541901,88.32672
"chatterjee st",22.5277325,88.3416685
"dum road",22.6204679,88.3968614
"canning street crossing",22.577478,88.3516452
"bhukailash road",22.5306885,88.3184542
"remount road",22.5253203,88.3194609
"boundary road",22.5358478,88.316479
"ekbalpur lane",22.5321596,88.3226739
"ekbalpur road",22.5321596,88.3226739
"ekbalpur crossing",22.5321596,88.3226739
"remount road crossing",22.5253203,88.3194609
"east boundary road crossing",22.572646,88.363895
"ekbalpore lane",22.5341324,88.3238482
"ekbalpore road",22.5341324,88.3238482
"ekbalpore crossing",22.5341324,88.3238482
"burman st",22.579968,88.3611699
"cossipore road crossing",22.6214932,88.3728618
"grant street",22.5635827,88.3538597
"putup road",22.572646,88.363895
"babu street",22.5825772,88.3618364
"radhabazar street",22.5734228,88.3519208
"brabourne  flyover",22.581254,88.35013
"bajaj street",22.5808722,88.3526399
"armenian ghat",22.5825315,88.3481938
"armenium ghat",22.5825315,88.3481938
"keorapukur bazar",22.4719732,88.3391382
"bertram street",22.561255,88.3522498
"khanna crossing",22.5940122,88.375237
"garihat crossing",22.5157428,88.3668023
"bardhaman road crossing",22.5221657,88.327646
"aurobinda sarani",22.5943618,88.3725748
"mukhejee road",22.5711836,88.3510374
"budge road",22.5152252,88.2892377
"jinjira bazar",22.5174859,88.2981765
"chingrigahata flyover",22.5582586,88.4126652
"cathidral road",22.5446792,88.3461554
"casurina avenue",22.5500062,88.3422775
"khan road crossing",22.5365279,88.3914623
"dumayun avenue",22.572646,88.363895
"nimakmal road",22.572646,88.363895
"motishil street crossing",22.5640785,88.3525844
"vip bazar",22.5253121,88.3958057
"mango lane crossing",22.5694299,88.3514939
"gc avenue crossing",22.5675537,88.3564717
"ajaynagar crossing",22.4917418,88.3932066
"rasbehari crossing",22.5210149,88.3706328
"nimtala ghat",22.5922985,88.3563555
"mallick road crossing",22.4904397,88.3722914
"rawdon street crossing",22.5443785,88.3583574
"towards crossing",38.9098954,-121.0435865
"thakurpukur bazar",22.4639108,88.3061869
"mg road crossing",22.4609999,88.3292444
"galiff street",22.6062201,88.3714401
"mullick street",22.5808053,88.3545152
